Produto;Nível de comercialização;UF;Período;Preço medio
MILHO EM ESPIGA COM PALHA VERDE  (kg);ATACADO;RR;03/2021;R$ 2,70
;;;04/2021;R$ 2,70
;;;05/2021;R$ 2,70
;;;06/2021;R$ 2,70
;;;07/2021;R$ 2,70
;;;08/2021;R$ 1,71
;;;09/2021;R$ 3,60
;;;10/2021;R$ 1,70
;;;11/2021;R$ 1,70
;;;12/2021;R$ 1,33
;;;01/2022;R$ 1,71
;;;02/2022;R$ 2,00
;;;03/2022;R$ 2,00
;;;04/2022;R$ 2,00
;;;05/2022;R$ 2,00
;;;06/2022;R$ 2,00
;;;07/2022;R$ 2,10
;;;08/2022;R$ 2,10
;;;09/2022;R$ 2,00
;;;10/2022;R$ 2,50
;;;11/2022;R$ 2,00
;;;12/2022;R$ 2,50
;;;01/2023;R$ 2,38
MILHO EM GRÃOS   (50 kg);ATACADO;AC;07/2020;R$ 50,00
;;;08/2020;R$ 50,00
;;;09/2020;R$ 50,00
;;;10/2020;R$ 51,14
;;;11/2020;R$ 73,00
;;;12/2020;R$ 75,00
;;;01/2021;R$ 75,00
;;;02/2021;R$ 75,00
;;;03/2021;R$ 76,35
;;;04/2021;R$ 77,00
;;;05/2021;R$ 75,25
;;;06/2021;R$ 67,55
;;;07/2021;R$ 67,00
;;;08/2021;R$ 67,00
;;;09/2021;R$ 67,00
;;;10/2021;R$ 67,00
;;;11/2021;R$ 67,27
;;;12/2021;R$ 80,65
;;;01/2022;R$ 91,25
;;;02/2022;R$ 96,97
;;;03/2022;R$ 96,52
;;;04/2022;R$ 87,62
;;;05/2022;R$ 85,00
;;;06/2022;R$ 85,00
;;;07/2022;R$ 81,88
;;;08/2022;R$ 73,43
;;;09/2022;R$ 73,00
;;;10/2022;R$ 73,00
;;;11/2022;R$ 73,00
;;;12/2022;R$ 73,00
;;;01/2023;R$ 73,00
;ATACADO;AM;01/2021;R$ 90,64
;;;02/2021;R$ 96,39
;;;03/2021;R$ 82,39
;;;04/2021;R$ 84,28
;;;05/2021;R$ 86,24
;;;06/2021;R$ 91,27
;;;07/2021;R$ 96,16
;;;08/2021;R$ 98,75
;;;09/2021;R$ 95,55
;;;10/2021;R$ 86,95
;;;11/2021;R$ 85,27
;;;12/2021;R$ 86,87
;;;01/2022;R$ 80,50
;;;02/2022;R$ 78,09
;;;03/2022;R$ 82,41
;;;04/2022;R$ 86,65
;;;05/2022;R$ 85,63
;;;06/2022;R$ 84,80
;;;07/2022;R$ 83,65
;;;08/2022;R$ 83,87
;;;09/2022;R$ 81,33
;;;10/2022;R$ 79,86
;;;11/2022;R$ 79,14
;;;12/2022;R$ 79,31
;;;01/2023;R$ 79,25
;ATACADO;PB;01/2020;R$ 46,05
;;;02/2020;R$ 47,92
;;;03/2020;R$ 45,82
;;;04/2020;R$ 48,00
;;;05/2020;R$ 43,16
;;;06/2020;R$ 40,83
;;;07/2020;R$ 41,65
;;;08/2020;R$ 46,21
;;;09/2020;R$ 50,64
;;;10/2020;R$ 52,20
;;;11/2020;R$ 58,59
;;;12/2020;R$ 63,61
;;;01/2021;R$ 63,85
;;;02/2021;R$ 65,48
;;;03/2021;R$ 65,39
;;;04/2021;R$ 71,59
;;;05/2021;R$ 76,81
;;;06/2021;R$ 77,68
;;;07/2021;R$ 77,83
;;;08/2021;R$ 82,24
;;;09/2021;R$ 83,10
;;;10/2021;R$ 79,66
;;;11/2021;R$ 75,30
;;;12/2021;R$ 74,17
;;;01/2022;R$ 75,61
;;;02/2022;R$ 77,86
;;;03/2022;R$ 80,06
;;;04/2022;R$ 78,98
;;;05/2022;R$ 77,79
;;;06/2022;R$ 76,82
;;;07/2022;R$ 74,77
;;;08/2022;R$ 73,42
;;;09/2022;R$ 73,42
;;;10/2022;R$ 74,89
;;;11/2022;R$ 74,06
;;;12/2022;R$ 72,46
;;;01/2023;R$ 72,32
;ATACADO;RO;01/2020;R$ 48,27
;;;02/2020;R$ 49,25
;;;03/2020;R$ 47,38
;;;04/2020;R$ 46,75
;;;05/2020;R$ 44,49
;;;06/2020;R$ 40,48
;;;07/2020;R$ 41,31
;;;08/2020;R$ 44,93
;;;09/2020;R$ 52,97
;;;10/2020;R$ 59,02
;;;11/2020;R$ 69,00
;;;12/2020;R$ 71,49
;;;01/2021;R$ 71,54
;;;02/2021;R$ 70,75
;;;03/2021;R$ 71,32
;;;04/2021;R$ 72,38
;;;05/2021;R$ 75,54
;;;06/2021;R$ 77,19
;;;07/2021;R$ 76,58
;;;08/2021;R$ 76,86
;;;09/2021;R$ 77,92
;;;10/2021;R$ 75,98
;;;11/2021;R$ 72,10
;;;12/2021;R$ 70,92
;;;01/2022;R$ 71,81
;;;02/2022;R$ 75,92
;;;03/2022;R$ 79,52
;;;04/2022;R$ 77,30
;;;05/2022;R$ 75,63
;;;06/2022;R$ 77,52
;;;07/2022;R$ 76,82
;;;08/2022;R$ 74,50
;;;09/2022;R$ 73,95
;;;10/2022;R$ 72,25
;;;11/2022;R$ 72,88
;;;12/2022;R$ 75,17
;;;01/2023;R$ 76,14
;ATACADO;RR;01/2021;R$ 57,50
;;;02/2021;R$ 63,75
;;;04/2021;R$ 76,50
;;;05/2021;R$ 80,00
;;;10/2021;R$ 88,00
;;;11/2021;R$ 87,63
;;;12/2021;R$ 85,39
;;;01/2022;R$ 83,00
;;;02/2022;R$ 80,42
;;;03/2022;R$ 76,96
;;;04/2022;R$ 76,43
;;;05/2022;R$ 75,00
;;;06/2022;R$ 79,18
;;;07/2022;R$ 78,21
;;;08/2022;R$ 80,00
;;;09/2022;R$ 83,98
;;;10/2022;R$ 85,96
;;;11/2022;R$ 82,18
;;;12/2022;R$ 81,73
;;;01/2023;R$ 84,63
MILHO EM GRÃOS   (60 kg);ATACADO;AL;01/2020;R$ 58,96
;;;02/2020;R$ 54,25
;;;03/2020;R$ 56,18
;;;04/2020;R$ 52,61
;;;05/2020;R$ 51,38
;;;06/2020;R$ 49,93
;;;07/2020;R$ 53,54
;;;08/2020;R$ 61,90
;;;09/2020;R$ 62,16
;;;10/2020;R$ 62,73
;;;11/2020;R$ 72,00
;;;12/2020;R$ 70,52
;;;01/2021;R$ 72,24
;;;02/2021;R$ 70,00
;;;03/2021;R$ 75,39
;;;04/2021;R$ 90,05
;;;05/2021;R$ 96,25
;;;06/2021;R$ 94,48
;;;07/2021;R$ 96,41
;;;08/2021;R$ 100,00
;;;09/2021;R$ 100,82
;;;10/2021;R$ 84,86
;;;11/2021;R$ 80,91
;;;12/2021;R$ 80,03
;;;01/2022;R$ 84,24
;;;02/2022;R$ 93,08
;;;03/2022;R$ 93,26
;;;04/2022;R$ 87,56
;;;05/2022;R$ 89,43
;;;06/2022;R$ 91,27
;;;07/2022;R$ 93,90
;;;08/2022;R$ 93,65
;;;09/2022;R$ 92,66
;;;10/2022;R$ 85,75
;;;11/2022;R$ 82,95
;;;12/2022;R$ 80,23
;;;01/2023;R$ 89,56
;ATACADO;AM;01/2020;R$ 69,65
;;;02/2020;R$ 73,65
;;;03/2020;R$ 81,61
;;;04/2020;R$ 92,39
;;;05/2020;R$ 91,43
;;;06/2020;R$ 81,19
;;;07/2020;R$ 77,35
;;;08/2020;R$ 83,03
;;;09/2020;R$ 84,00
;;;10/2020;R$ 86,29
;;;11/2020;R$ 88,81
;;;12/2020;R$ 94,52
;;;01/2021;R$ 99,50
;ATACADO;AP;01/2020;R$ 67,20
;;;02/2020;R$ 67,20
;;;03/2020;R$ 67,20
;;;04/2020;R$ 90,00
;;;05/2020;R$ 90,00
;;;06/2020;R$ 90,00
;;;07/2020;R$ 75,60
;;;08/2020;R$ 75,60
;;;09/2020;R$ 75,60
;;;10/2020;R$ 75,60
;;;12/2020;R$ 95,00
;;;01/2021;R$ 95,00
;;;05/2021;R$ 96,00
;;;06/2021;R$ 95,00
;;;07/2021;R$ 100,25
;;;08/2021;R$ 108,00
;;;09/2021;R$ 106,09
;;;10/2021;R$ 101,14
;;;11/2021;R$ 99,60
;;;12/2021;R$ 103,13
;;;01/2022;R$ 106,14
;;;02/2022;R$ 109,00
;;;03/2022;R$ 109,00
;;;04/2022;R$ 109,00
;;;05/2022;R$ 109,00
;;;06/2022;R$ 109,00
;;;07/2022;R$ 109,00
;;;08/2022;R$ 105,04
;;;09/2022;R$ 102,00
;;;10/2022;R$ 102,00
;;;11/2022;R$ 99,43
;;;12/2022;R$ 96,55
;;;01/2023;R$ 99,30
;ATACADO;BA;01/2020;R$ 61,46
;;;02/2020;R$ 60,28
;;;03/2020;R$ 57,14
;;;04/2020;R$ 59,85
;;;05/2020;R$ 57,82
;;;06/2020;R$ 52,16
;;;07/2020;R$ 50,50
;;;08/2020;R$ 53,14
;;;09/2020;R$ 57,92
;;;10/2020;R$ 59,25
;;;11/2020;R$ 64,38
;;;12/2020;R$ 71,79
;;;01/2021;R$ 78,15
;;;02/2021;R$ 80,54
;;;03/2021;R$ 80,44
;;;04/2021;R$ 88,21
;;;05/2021;R$ 96,40
;;;06/2021;R$ 97,97
;;;07/2021;R$ 97,45
;;;08/2021;R$ 99,63
;;;09/2021;R$ 102,69
;;;10/2021;R$ 97,24
;;;11/2021;R$ 90,96
;;;12/2021;R$ 88,36
;;;01/2022;R$ 87,67
;;;02/2022;R$ 91,30
;;;03/2022;R$ 93,35
;;;04/2022;R$ 94,82
;;;05/2022;R$ 90,72
;;;06/2022;R$ 88,83
;;;07/2022;R$ 88,26
;;;08/2022;R$ 86,80
;;;09/2022;R$ 86,16
;;;10/2022;R$ 84,76
;;;11/2022;R$ 83,81
;;;12/2022;R$ 82,70
;;;01/2023;R$ 83,76
;ATACADO;CE;01/2020;R$ 49,91
;;;02/2020;R$ 56,25
;;;03/2020;R$ 55,36
;;;04/2020;R$ 55,23
;;;05/2020;R$ 51,64
;;;06/2020;R$ 45,92
;;;07/2020;R$ 50,87
;;;08/2020;R$ 57,33
;;;09/2020;R$ 59,11
;;;10/2020;R$ 62,18
;;;11/2020;R$ 67,50
;;;12/2020;R$ 71,65
;;;01/2021;R$ 73,88
;;;02/2021;R$ 76,13
;;;03/2021;R$ 77,48
;;;04/2021;R$ 83,55
;;;05/2021;R$ 86,00
;;;06/2021;R$ 88,23
;;;07/2021;R$ 94,14
;;;08/2021;R$ 96,00
;;;09/2021;R$ 94,77
;;;10/2021;R$ 89,76
;;;11/2021;R$ 86,16
;;;12/2021;R$ 85,52
;;;01/2022;R$ 93,62
;;;02/2022;R$ 94,95
;;;03/2022;R$ 98,39
;;;04/2022;R$ 98,86
;;;05/2022;R$ 94,14
;;;06/2022;R$ 86,91
;;;07/2022;R$ 87,71
;;;08/2022;R$ 87,35
;;;09/2022;R$ 88,00
;;;10/2022;R$ 87,50
;;;11/2022;R$ 85,23
;;;12/2022;R$ 86,36
;;;01/2023;R$ 89,11
;ATACADO;DF;01/2020;R$ 47,48
;;;02/2020;R$ 46,21
;;;03/2020;R$ 47,76
;;;04/2020;R$ 47,52
;;;05/2020;R$ 44,15
;;;06/2020;R$ 41,74
;;;07/2020;R$ 40,07
;;;08/2020;R$ 44,50
;;;09/2020;R$ 51,26
;;;10/2020;R$ 56,36
;;;11/2020;R$ 73,93
;;;12/2020;R$ 69,58
;;;01/2021;R$ 72,63
;;;02/2021;R$ 73,66
;;;03/2021;R$ 75,98
;;;04/2021;R$ 80,08
;;;05/2021;R$ 88,82
;;;06/2021;R$ 86,78
;;;07/2021;R$ 85,11
;;;08/2021;R$ 89,92
;;;09/2021;R$ 88,50
;;;10/2021;R$ 82,65
;;;11/2021;R$ 81,00
;;;12/2021;R$ 80,05
;;;01/2022;R$ 84,92
;;;02/2022;R$ 86,14
;;;03/2022;R$ 87,44
;;;04/2022;R$ 82,79
;;;05/2022;R$ 79,45
;;;06/2022;R$ 78,79
;;;07/2022;R$ 76,04
;;;08/2022;R$ 72,74
;;;09/2022;R$ 74,91
;;;10/2022;R$ 74,39
;;;11/2022;R$ 73,80
;;;12/2022;R$ 74,17
;;;01/2023;R$ 74,84
;ATACADO;ES;01/2020;R$ 59,96
;;;02/2020;R$ 57,55
;;;03/2020;R$ 60,92
;;;04/2020;R$ 56,70
;;;05/2020;R$ 51,60
;;;06/2020;R$ 51,18
;;;07/2020;R$ 51,28
;;;08/2020;R$ 56,17
;;;09/2020;R$ 65,86
;;;10/2020;R$ 72,00
;;;11/2020;R$ 84,90
;;;12/2020;R$ 78,35
;;;01/2021;R$ 83,21
;;;02/2021;R$ 85,88
;;;03/2021;R$ 86,24
;;;04/2021;R$ 93,82
;;;05/2021;R$ 104,13
;;;06/2021;R$ 98,27
;;;07/2021;R$ 98,00
;;;08/2021;R$ 102,90
;;;09/2021;R$ 102,81
;;;10/2021;R$ 97,57
;;;11/2021;R$ 92,63
;;;12/2021;R$ 92,39
;;;01/2022;R$ 98,00
;;;02/2022;R$ 100,34
;;;03/2022;R$ 100,54
;;;04/2022;R$ 95,21
;;;05/2022;R$ 89,14
;;;06/2022;R$ 92,60
;;;07/2022;R$ 89,23
;;;08/2022;R$ 88,96
;;;09/2022;R$ 92,18
;;;10/2022;R$ 94,05
;;;11/2022;R$ 92,23
;;;12/2022;R$ 91,16
;;;01/2023;R$ 93,50
;ATACADO;GO;01/2020;R$ 47,44
;;;02/2020;R$ 48,48
;;;03/2020;R$ 51,01
;;;04/2020;R$ 47,24
;;;05/2020;R$ 42,97
;;;06/2020;R$ 41,66
;;;07/2020;R$ 42,59
;;;08/2020;R$ 48,77
;;;09/2020;R$ 54,43
;;;10/2020;R$ 65,26
;;;11/2020;R$ 73,20
;;;12/2020;R$ 67,75
;;;01/2021;R$ 74,65
;;;02/2021;R$ 76,76
;;;03/2021;R$ 79,49
;;;04/2021;R$ 84,50
;;;05/2021;R$ 91,40
;;;06/2021;R$ 85,47
;;;07/2021;R$ 85,29
;;;08/2021;R$ 90,49
;;;09/2021;R$ 85,63
;;;10/2021;R$ 83,27
;;;11/2021;R$ 80,94
;;;12/2021;R$ 79,59
;;;01/2022;R$ 85,51
;;;02/2022;R$ 89,30
;;;03/2022;R$ 88,74
;;;04/2022;R$ 81,97
;;;05/2022;R$ 82,06
;;;06/2022;R$ 79,49
;;;07/2022;R$ 71,84
;;;08/2022;R$ 71,98
;;;09/2022;R$ 74,30
;;;10/2022;R$ 74,04
;;;11/2022;R$ 74,31
;;;12/2022;R$ 73,85
;;;01/2023;R$ 76,27
;ATACADO;MA;01/2020;R$ 58,17
;;;02/2020;R$ 60,53
;;;03/2020;R$ 61,92
;;;04/2020;R$ 62,99
;;;05/2020;R$ 68,41
;;;06/2020;R$ 66,69
;;;07/2020;R$ 62,27
;;;08/2020;R$ 61,27
;;;09/2020;R$ 65,26
;;;10/2020;R$ 67,87
;;;11/2020;R$ 79,13
;;;12/2020;R$ 90,38
;;;01/2021;R$ 87,15
;;;02/2021;R$ 85,63
;;;03/2021;R$ 89,68
;;;04/2021;R$ 99,83
;;;05/2021;R$ 105,88
;;;06/2021;R$ 110,95
;;;07/2021;R$ 109,91
;;;08/2021;R$ 109,13
;;;09/2021;R$ 100,56
;;;10/2021;R$ 98,92
;;;11/2021;R$ 97,89
;;;12/2021;R$ 87,18
;;;01/2022;R$ 86,85
;;;02/2022;R$ 89,54
;;;03/2022;R$ 90,52
;;;04/2022;R$ 88,44
;;;05/2022;R$ 87,05
;;;06/2022;R$ 85,06
;;;07/2022;R$ 85,12
;;;08/2022;R$ 81,53
;;;09/2022;R$ 78,16
;;;10/2022;R$ 81,85
;;;11/2022;R$ 83,52
;;;12/2022;R$ 82,16
;;;01/2023;R$ 84,75
;ATACADO;MG;01/2020;R$ 58,10
;;;02/2020;R$ 60,56
;;;03/2020;R$ 63,99
;;;04/2020;R$ 64,69
;;;05/2020;R$ 57,00
;;;06/2020;R$ 56,43
;;;07/2020;R$ 60,00
;;;08/2020;R$ 62,67
;;;09/2020;R$ 63,94
;;;10/2020;R$ 77,05
;;;11/2020;R$ 83,27
;;;12/2020;R$ 80,78
;;;01/2021;R$ 82,78
;;;02/2021;R$ 85,66
;;;03/2021;R$ 87,96
;;;04/2021;R$ 98,41
;;;05/2021;R$ 104,82
;;;06/2021;R$ 102,32
